Simulation_Setup,Mean_Detection,Mean_Costs,Mean_Runs,Mean_Infections_at_Detection
Incubation_Period_0_Beta_0.005,20.6,355071.6,151.74,10908.6
Incubation_Period_0_Beta_0.01,29.0,342856.8,146.52,15199.42857142857
Incubation_Period_0_Beta_0.05,31.333333333333332,343558.8,146.82,15857.666666666666
Incubation_Period_0_Beta_0.1,32.18181818181818,335602.8,143.42,16194.0
Incubation_Period_5_Beta_0.005,52.54545454545455,386006.4,164.96,48.63636363636363
Incubation_Period_5_Beta_0.01,57.875,374400.0,160.0,279.53125
Incubation_Period_5_Beta_0.05,31.8,330361.2,141.18,1911.16
Incubation_Period_5_Beta_0.1,25.92,312109.2,133.38,2862.34
Incubation_Period_10_Beta_0.005,37.4,386100.0,165.0,20.2
Incubation_Period_10_Beta_0.01,71.0,379594.8,162.22,262.0
Incubation_Period_10_Beta_0.05,48.93478260869565,331110.0,141.5,1606.195652173913
Incubation_Period_10_Beta_0.1,43.42,313747.2,134.08,1978.6
Incubation_Period_15_Beta_0.005,61.666666666666664,386100.0,165.0,28.666666666666668
Incubation_Period_15_Beta_0.01,60.5,383666.4,163.96,52.333333333333336
Incubation_Period_15_Beta_0.05,65.85714285714286,340657.2,145.58,1418.6326530612246
Incubation_Period_15_Beta_0.1,61.34,321469.2,137.38,2105.22
Incubation_Period_20_Beta_0.005,54.2,386100.0,165.0,12.8
Incubation_Period_20_Beta_0.01,80.8,385257.6,164.64,68.3
Incubation_Period_20_Beta_0.05,78.15555555555555,362700.0,155.0,941.4222222222222
Incubation_Period_20_Beta_0.1,75.46808510638297,343886.4,146.96,1979.4255319148936
